Device Identifier;Device Name;Device Manufacturer;Bluetooth Version
LED46K260X3D;LED46K260X3D;Hisense;N/A
LED46K280J3D;LED46K280J3D;Hisense;N/A
LED46K330X3D;LED46K330X3D;Hisense;N/A
LED46K360J;LED46K360J;Hisense;N/A
LED46K360X3D;LED46K360X3D;Hisense;N/A
LED46K660X3D;LED46K660X3D;Hisense;N/A
LED47K560J3D;LED47K560J3D;Hisense;N/A
LED47K600X3D;LED47K600X3D;Hisense;N/A
LED47K610J3DP;LED47K610J3DP;Hisense;N/A
LED48K360X3D;LED48K360X3D;Hisense;N/A
LED48K370;LED48K370;Hisense;N/A
LED48K380U;LED48K380U;Hisense;N/A
LED48K681X3DU;LED48K681X3DU;Hisense;N/A
LED48L288;LED48L288;Hisense;N/A
LED50G05;LED50G05;Hisense;N/A
LED50K260X3D;LED50K260X3D;Hisense;N/A
LED50K360J;LED50K360J;Hisense;N/A
LED50K360X3D;LED50K360X3D;Hisense;N/A
LED50K370;LED50K370;Hisense;N/A
LED50K380U;LED50K380U;Hisense;N/A
LED50K610X3D;LED50K610X3D;Hisense;N/A
LED50K660X3D;LED50K660X3D;Hisense;N/A
LED50K680X3DU;LED50K680X3DU;Hisense;N/A
LED50L288;LED50L288;Hisense;N/A
LED50XT880G3D;LED50XT880G3D;Hisense;N/A
LED50XT880G3DU;LED50XT880G3DU;Hisense;N/A
LED50XT900X3DU;LED50XT900X3DU;Hisense;N/A
LED55K260X3D;LED55K260X3D;Hisense;N/A
Hisense LED55K360X3D;LED55K360X3D;Hisense;N/A
LED55K370;LED55K370;Hisense;N/A
LED55K380U;LED55K380U;Hisense;N/A
LED55K600A3D;LED55K600A3D;Hisense;N/A
LED55K600X3D;LED55K600X3D;Hisense;N/A
LED55K610X3D;LED55K610X3D;Hisense;N/A
LED55K680X3DU;LED55K680X3DU;Hisense;N/A
LED55L288;LED55L288;Hisense;N/A
LED55XT780G3D;LED55XT780G3D;Hisense;N/A
LED55XT810X3DU;LED55XT810X3DU;Hisense;N/A
LED55XT880G3DU;LED55XT880G3DU;Hisense;N/A
LED55XT900X3DU;LED55XT900X3DU;Hisense;N/A
LED58K280J;LED58K280J;Hisense;N/A
LED58K280U;LED58K280U;Hisense;N/A
LED58K610X3D;LED58K610X3D;Hisense;N/A
LED58K680X3DU;LED58K680X3DU;Hisense;N/A
LED58XT880G3D;LED58XT880G3D;Hisense;N/A
LED58XT880J3DU;LED58XT880J3DU;Hisense;N/A
LED60K380;LED60K380;Hisense;N/A
LED65K560J3DTB;LED65K560J3DTB;Hisense;N/A
LED65K560J3DTR;LED65K560J3DTR;Hisense;N/A
LED65K600X3D;LED65K600X3D;Hisense;N/A
LED65K680X3DU;LED65K680X3DU;Hisense;N/A
LED65XT780G3D;LED65XT780G3D;Hisense;N/A
LED65XT800X3DU;LED65XT800X3DU;Hisense;N/A
LED65XT810X3DU;LED65XT810X3DU;Hisense;N/A
LED65XT880G3D;LED65XT880G3D;Hisense;N/A
LED65XT880G3DF;LED65XT880G3DF;Hisense;N/A
LED65XT880G3DU;LED65XT880G3DU;Hisense;N/A
LED65XT890G3D;LED65XT890G3D;Hisense;N/A
LED65XT900G3DU;LED65XT900G3DU;Hisense;N/A
LED65XT900X3DU;LED65XT900X3DU;Hisense;N/A
LED75XT890G3D;LED75XT890G3D;Hisense;N/A
LED75XT910G3DU;LED75XT910G3DU;Hisense;N/A
LED84XT900G3D;LED84XT900G3D;Hisense;N/A
Vision20;LED85XT910G3DU;Hisense;N/A
LT100K6900A;LT100K6900A;Hisense;N/A
LT610;LT610;Hisense;N/A
Hisense M10-M;M10-M;Hisense;N/A
Hisense M20-T;M20- T;Hisense;N/A
Hisense M20-M;M20-M;Hisense;N/A
Hisense M30;M30;Hisense;N/A
Hisense M30M;M30M;Hisense;N/A
Hisense M30T;M30T;Hisense;N/A
M3101BCD;M3101BCD;Hisense;N/A
Hisense M36;M36;Hisense;N/A
M470BSA;M470BSA;Hisense;N/A
M470BSD;M470BSD;Hisense;N/A
M470BSE;M470BSE;Hisense;N/A
M470BSG;M470BSG;Hisense;N/A
M470BSS;M470BSS;Hisense;N/A
M701;M701;Hisense;N/A
M821;M821;Hisense;N/A
M821H;M821H;Hisense;N/A
SMART 4G HD Voice;M821T;Hisense;N/A
MEDION E4001;MEDION E4001;Hisense;N/A
MEDION X4701;MEDION X4701;Hisense;N/A
Oysters Pacific 800;Oysters Pacific 800;Hisense;N/A
PX10;PX10;Hisense;N/A
PX1900;PX1900;Hisense;N/A
PX7;PX1900ES;Hisense;N/A
PX2000;PX2000;Hisense;N/A
PX2700;PX2700;Hisense;N/A
PX2800;PX2800;Hisense;N/A
Hisense PX3000;PX3000;Hisense;N/A
PX3000;PX3000;Hisense;N/A
PX3100;PX3100;Hisense;N/A
PX510;PX510;Hisense;N/A
PX8;PX530;Hisense;N/A
PX9;PX9;Hisense;N/A
S1;S1;Hisense;N/A
SKi630t;SKi630t;Hisense;N/A
STARSHINE 4;STARSHINE 4;Hisense;N/A
S40;STARTRAIL  9;Hisense;N/A
STARTRAIL 9;STARTRAIL  9;Hisense;N/A
STARTRAIL 6 4G;STARTRAIL 6 4G;Hisense;N/A
E2171CA;Sero 7;Hisense;N/A
E2171MX;Sero 7;Hisense;N/A
E2171TK;Sero 7;Hisense;N/A
E2281;Sero 8;Hisense;N/A
E2281CA;Sero 8;Hisense;N/A
E2281MX;Sero 8;Hisense;N/A
E2281TK;Sero 8;Hisense;N/A
E2281UK;Sero 8;Hisense;N/A
F5281;Sero 8 pro;Hisense;N/A
E2171SS;Sero7;Hisense;N/A
E2371;Sero7 LE;Hisense;N/A
E2281SS;Sero8;Hisense;N/A
Hisense SoundTab MA-317;SoundTab MA-317;Hisense;N/A
Hisense SoundTab MA-327;SoundTab MA-327;Hisense;N/A
Hisense T963;T963;Hisense;N/A
hisense_gx1200v;TV;Hisense;N/A
Hisense U601S;U601S;Hisense;N/A
U601S Pro;U601S  Pro;Hisense;N/A
HS-U602;U602;Hisense;N/A
STARSHINE III;U606;Hisense;N/A
HS-U606;U606AE;Hisense;N/A
PHS-402;U606AE;Hisense;N/A
Bouygues Telecom Bs 403;U607;Hisense;N/A
HS-U609;U609;Hisense;N/A
HS-U610;U610;Hisense;N/A
HS-U610;U610;Hisense;N/A
HS-U688;U688;Hisense;N/A
HS-U688;U688BE;Hisense;N/A
HS-U800;U800;Hisense;N/A
HS-U800;U800E-1;Hisense;N/A
HS-U800E-1;U800E-1;Hisense;N/A
Hisense U963;U963;Hisense;N/A
RIVIERA U963;U963;Hisense;N/A
U966;U966;Hisense;N/A
U970;U970;Hisense;N/A
HS-U988;U988;Hisense;N/A
HS-U988;U988AE;Hisense;N/A
HS-U988;U988E-1;Hisense;N/A
HS-U988;U988E-2;Hisense;N/A
Hisense U989;U989;Hisense;N/A
Hisense U989 Pro;U989 Pro;Hisense;N/A
VH777;VH777;Hisense;N/A
VIDAA_TV;VIDAA_TV;Hisense;N/A
VIDAA_TV;VIDAA_TV;Hisense;N/A
VIDAA_TV;VIDAA_TV;Hisense;N/A
VIDAA_TV;VIDAA_TV;Hisense;N/A
VIDAA_TV;VIDAA_TV;Hisense;N/A
VIDAA_TV;VIDAA_TV;Hisense;N/A
VIDAA_TV;VIDAA_TV;Hisense;N/A
VIDAA_TV;VIDAA_TV;Hisense;N/A
VIDAA_TV;VIDAA_TV;Hisense;N/A
VIDAA_TV;VIDAA_TV;Hisense;N/A
VIDAA_TV;VIDAA_TV;Hisense;N/A
VIDAA_TV;VIDAA_TV;Hisense;N/A
H7;Vidaa;Hisense;N/A
Vision;Vision;Hisense;N/A
vision2_5;Vision 2.5;Hisense;N/A
W2;W2;Hisense;N/A
W270BD;W270BD;Hisense;N/A
WA912;WA912;Hisense;N/A
WA960;WA960;Hisense;N/A
WM8;WM8;Hisense;N/A
HS-X1;X1E1;Hisense;N/A
XOLO T1000;XOLO;Hisense;N/A
Hisense C20;c20;Hisense;N/A
C20;c20ae;Hisense;N/A
Hisense C20;c20fe-3;Hisense;N/A
Hisense E76mini;e76mini;Hisense;N/A
Hisense L676;l676be;Hisense;N/A
HS-L691;l691;Hisense;N/A
Hisense L830;l830;Hisense;N/A
STARXTREM 6;l830;Hisense;N/A
HAT4KDTV;laoshan;Hisense;N/A
LT971;lt971;Hisense;N/A
U972;u972;Hisense;N/A
vision2_1;vision2_1;Hisense;N/A
5-0;5-0;Hiya;N/A
5-0;5-0;Hiya;N/A
5-0;5-0;Hiya;N/A
5.5;5.5;Hiya;N/A
5.5;5.5;Hiya;N/A
X-Max;X Max;Hoffmann;N/A
X-Go;X-Go;Hoffmann;N/A
X_Ultra;X-Ultra;Hoffmann;N/A
HOFFMANN X-Prime;X_Prime;Hoffmann;N/A
HT_7RT;HT_7RT Tablet PC;Hometech;N/A
HT_8MZ;HT_8MZ;Hometech;N/A
PocketBook A10;;Hon Hai Precision Industry Co., Ltd.;N/A
PocketBook A7;;Hon Hai Precision Industry Co., Ltd.;N/A
LIFETAB_S9714;Germany;Hon Hai Precision Industry Co., Ltd.;N/A
NABIXD-NV10C;nabi_XD;Hon Hai Precision Industry Co., Ltd.;N/A
14A-DA;A-DA;Honda;N/A
MY15ADA;A-DA;Honda;N/A
MY18ADA;A-DA;Honda;N/A
MY17ADA;A-DA;Honda;N/A
MY18ADA;A-DA;Honda;N/A
MY16ADA;Accord;Honda;N/A
MY15ADA;MY15ADA;Honda;N/A
MY15ADA;NSX;Honda;N/A
MY15ADA;Pilot;Honda;N/A
MY15ADA;Ridgeline;Honda;N/A
MY19ADA;S660;Honda;N/A
MY15ADA;Spirior;Honda;N/A
SiRFSoC Android;Unit Assy AVN;Honda;N/A
Dolphin 70e Black;70eL00;Honeywell;N/A
Dolphin 70e Black;70eLGN;Honeywell;N/A
Dolphin 70e Black;70eLGN;Honeywell;N/A
Dolphin 70e Black;70eLW0;Honeywell;N/A
Dolphin 70e Black;70eLWN;Honeywell;N/A
CK65;CK65;Honeywell;N/A
CK65;CK65;Honeywell;N/A
CX75 AC0;CK75;Honeywell;N/A
CX75 AN0;CK75;Honeywell;N/A
CN51 NC0;CN51;Honeywell;N/A
CN51 NCF;CN51;Honeywell;N/A
CN51 NCU;CN51;Honeywell;N/A
CN51 NN0;CN51;Honeywell;N/A
CN51 QC0;CN51;Honeywell;N/A
CN51 QCF;CN51;Honeywell;N/A
CN51 QCU;CN51;Honeywell;N/A
CN51 QN0;CN51;Honeywell;N/A
CX75 NC0;CN75;Honeywell;N/A
CX75 NCF;CN75;Honeywell;N/A
CX75 QC0;CN75;Honeywell;N/A
CX75 QCF;CN75;Honeywell;N/A
CX75 NC0;CN75E;Honeywell;N/A
CX75 NCF;CN75E;Honeywell;N/A
CX75 QC0;CN75E;Honeywell;N/A
CX75 QCF;CN75E;Honeywell;N/A
CN80;CN80;Honeywell;N/A
CN80;CN80;Honeywell;N/A
CN80;CN80;Honeywell;N/A
CN80;CN80;Honeywell;N/A
CN85;CN85;Honeywell;N/A
CN85;CN85;Honeywell;N/A
CT40;CT40;Honeywell;N/A
CT40;CT40;Honeywell;N/A
CT40;CT40;Honeywell;N/A
CT50;CT50;Honeywell;N/A
CT50;CT50;Honeywell;N/A
CT50;CT50;Honeywell;N/A
CT50;CT50;Honeywell;N/A
CT50;CT50;Honeywell;N/A
CT50;CT50;Honeywell;N/A
CT50;CT50;Honeywell;N/A
CT60;CT60;Honeywell;N/A
CT60;CT60-L0-C;Honeywell;N/A
CT60;CT60-L1N-C;Honeywell;N/A
D75E;D75E;Honeywell;N/A
Dolphin 70e Black;Dolphin 70e Black;Honeywell;N/A
Dolphin 70e Black;Dolphin 70e Black;Honeywell;N/A
Dolphin 70e Black;Dolphin 70e Black;Honeywell;N/A
Dolphin 70e Black;Dolphin 70e Black;Honeywell;N/A
CT50;Dolphin CT50;Honeywell;N/A
CT50;Dolphin CT50;Honeywell;N/A
CT50;Dolphin CT50;Honeywell;N/A
EDA50;EDA50;Honeywell;N/A
EDA50;EDA50;Honeywell;N/A
Glory50;EDA50;Honeywell;N/A
EDA50;EDA50;Honeywell;N/A
EDA50K;EDA50K;Honeywell;N/A
EDA50K;EDA50K;Honeywell;N/A
Glory EDA50K;EDA50K;Honeywell;N/A
EDA51;EDA51;Honeywell;N/A
EDA51;EDA51;Honeywell;N/A
EDA70;EDA70;Honeywell;N/A
EDA70;EDA70;Honeywell;N/A
EDA50;EdA50;Honeywell;N/A
VM1A;VM1A;Honeywell;N/A
VM1A;VM1A;Honeywell;N/A
HZ0010;HZ0010;Hoozo;N/A
MR7863;MR7863;Hoozo;N/A
H5;H5;Hot Pepper;N/A
VLE5;VLE5;Hot Pepper;N/A
VLE5A;VLE5;Hot Pepper;N/A
A1;A1;Hotwav;N/A
A1 Plus;A1_Plus;Hotwav;N/A
Cosmos;Cosmos;Hotwav;N/A
Cosmos U;Cosmos_U;Hotwav;N/A
HOT 6;HOT 6;Hotwav;N/A
M5;M5;Hotwav;N/A
M5 Plus;M5 Plus;Hotwav;N/A
M5i;M5i;Hotwav;N/A
Magic 11;Magic 11;Hotwav;N/A
Magic 13;Magic 13;Hotwav;N/A
Magic 5;Magic 5;Hotwav;N/A
Magic 6;Magic 6;Hotwav;N/A
Magic 8;Magic 8;Hotwav;N/A
Magic 9;Magic 9;Hotwav;N/A
Magic Q8;Magic Q8;Hotwav;N/A
Magic Q8 Plus;Magic Q8 Plus;Hotwav;N/A
Magic 5 Plus;Magic_5_Plus;Hotwav;N/A
Symbol;Symbol;Hotwav;N/A
Symbol M1;Symbol M1;Hotwav;N/A
Symbol M1 Plus;Symbol M1Plus;Hotwav;N/A
Symbol Max;Symbol Max;Hotwav;N/A
Symbol X;Symbol X;Hotwav;N/A
1001-G;1001-G;How;N/A
1001-G Go;1001_G;How;N/A
705-G;705-G;How;N/A
705-G Go;705-G Go;How;N/A
HT-704;HT-704;How;N/A
HT-704plus;HT-704plus;How;N/A
HT-705;HT-705;How;N/A
HT-705 Go;HT-705_Go;How;N/A
704-G;HT704-G;How;N/A
HT-705;HT705GO;How;N/A
kids 3g;kids 3g;How;N/A
F8;F8;Huangmi;N/A
C8600;;Huawei;N/A
CHT8000;;Huawei;N/A
Huawei Ideos X1;;Huawei;N/A
HuaweiU8180;;Huawei;N/A
IDEOS X1;;Huawei;N/A
Kyivstar Terra;;Huawei;N/A
Starshine;;Huawei;N/A
Stockholm;;Huawei;N/A
U8180;;Huawei;N/A
Pulse;;Huawei;N/A
HUAWEI T8300;;Huawei;N/A
HUAWEI T8600;;Huawei;N/A
HUAWEI T8828;;Huawei;N/A
EQ U8110;;Huawei;N/A
Huawei;;Huawei;N/A
Huawei U8110;;Huawei;N/A
MTC_A;;Huawei;N/A
Pulse Mini;;Huawei;N/A
TSP21;;Huawei;N/A
Turkcell T10;;Huawei;N/A
U8110;;Huawei;N/A
life:) Android;;Huawei;N/A
U8300;;Huawei;N/A
HUAWEI IDEOS U8500;;Huawei;N/A
MTC_EVO;;Huawei;N/A
dtab01;;Huawei;N/A
HUAWEI C8813Q;;Huawei;N/A
HUAWEI C8860E;;Huawei;N/A
HUAWEI G520-T10;;Huawei;N/A
S42HW;;Huawei;N/A
A01HW;;Huawei;N/A
T8830Pro;;Huawei;N/A
U9202L-1;;Huawei;N/A
U9202L-3;;Huawei;N/A
C8500;;Huawei;N/A
C8511;;Huawei;N/A
MTS-SP101;;Huawei;N/A
C8512;;Huawei;N/A
C8600;;Huawei;N/A
C8650;;Huawei;N/A
HUAWEI C8650+;;Huawei;N/A
HUAWEI C8655;;Huawei;N/A
C8800;;Huawei;N/A
MTS-SP140;;Huawei;N/A
HUAWEI C8810;;Huawei;N/A
HUAWEI C8812E;;Huawei;N/A
HUAWEI C8813;;Huawei;N/A
HUAWEI C8825D;;Huawei;N/A
HUAWEI C8860E;;Huawei;N/A
C8860V;;Huawei;N/A
HUAWEI C8950D;;Huawei;N/A
CM980;;Huawei;N/A
H866C;;Huawei;N/A
HUAWEI H866C;;Huawei;N/A
Huawei-H867G;;Huawei;N/A
HUAWEI H868C;;Huawei;N/A
HUAWEI H881C;;Huawei;N/A
Express;;Huawei;N/A
M650;;Huawei;N/A
M660;;Huawei;N/A
HUAWEI-M860;;Huawei;N/A
M865C;;Huawei;N/A
HUAWEI M866;;Huawei;N/A
M866;;Huawei;N/A
USCCADR3310;;Huawei;N/A
M886;;Huawei;N/A
HUAWEI-M920;;Huawei;N/A
HUAWEI-M931;;Huawei;N/A
HUAWEI P2-0000;;Huawei;N/A
HUAWEI P2-6011;;Huawei;N/A
HUAWEI P2-6011-orange;;Huawei;N/A
MediaPad 10 FHD;;Huawei;N/A
GT01;;Huawei;N/A
MediaPad 10 FHD;;Huawei;N/A
MediaPad 10 LINK;;Huawei;N/A
HUAWEI MediaPad;;Huawei;N/A
HUAWEI MediaPad;;Huawei;N/A
Huawei S7-312u;;Huawei;N/A
MediaPad;;Huawei;N/A
SpringBoard;;Huawei;N/A
HUAWEI MediaPad;;Huawei;N/A
MediaPad 7 Lite;;Huawei;N/A
T8620;;Huawei;N/A
T8830;;Huawei;N/A
HUAWEI T8833;;Huawei;N/A
HUAWEI T8950;;Huawei;N/A
HUAWEI T8950N;;Huawei;N/A
HUAWEI T8951;;Huawei;N/A
T9200;;Huawei;N/A
T9510E;;Huawei;N/A
Netphone 501;;Huawei;N/A
U8180;;Huawei;N/A
U8185;;Huawei;N/A
U8186;;Huawei;N/A
U8230;;Huawei;N/A
Barcelona;;Huawei;N/A
GM FOX;;Huawei;N/A
HuaweiU8350;;Huawei;N/A
MTC Pro;;Huawei;N/A
Personal U8350;;Huawei;N/A
Temptation;;Huawei;N/A
U8350;;Huawei;N/A
U8350-51;;Huawei;N/A
Grameenphone Crystal;;Huawei;N/A
HUAWEI_IDEOS_U8500;;Huawei;N/A
HuaweiU8500;;Huawei;N/A
ICE;;Huawei;N/A
MF8503;;Huawei;N/A
MTC Evo;;Huawei;N/A
MegaFon U8500;;Huawei;N/A
U8500;;Huawei;N/A
Beeline_E500;;Huawei;N/A
GM Ultimate Slim;;Huawei;N/A
Huawei IDEOS X3;;Huawei;N/A
HuaweiU8510;;Huawei;N/A
MTC Bravo;;Huawei;N/A
S41HW;;Huawei;N/A
U8510;;Huawei;N/A
U8520;;Huawei;N/A
U8600;;Huawei;N/A
HUAWEI SONIC;;Huawei;N/A
HUAWEI_IDEOS_U8650;;Huawei;N/A
HuaweiU8650;;Huawei;N/A
Kyivstar Aqua;;Huawei;N/A
MTC 955;;Huawei;N/A
SONIC;;Huawei;N/A
Turkcell T20;;Huawei;N/A
U8650;;Huawei;N/A
U8650-1;;Huawei;N/A
Astro;;Huawei;N/A
Prism;;Huawei;N/A
U8651;;Huawei;N/A
U8651T;;Huawei;N/A
U8652-51;;Huawei;N/A
Etisalat;;Huawei;N/A
HUAWEI IDEOS Y 200;;Huawei;N/A
Personal U8655-51;;Huawei;N/A
STARTRAIL II;;Huawei;N/A
U8655;;Huawei;N/A
U8655-1;;Huawei;N/A
U8655-51;;Huawei;N/A
SONIC;;Huawei;N/A
HUAWEI U8661;;Huawei;N/A
MTC Fit;;Huawei;N/A
U8666-1;;Huawei;N/A
U8666-51;;Huawei;N/A
U8666-51;;Huawei;N/A
HUAWEI U8666E;;Huawei;N/A
MegaFon SP-A3;;Huawei;N/A
HUAWEI U8666E;;Huawei;N/A
HUAWEI U8666E-51;;Huawei;N/A
HUAWEI U8666N;;Huawei;N/A
U8667;;Huawei;N/A
T-Mobile myTouch;;Huawei;N/A
HUAWEI U8681;;Huawei;N/A
T-Mobile myTouch Q;;Huawei;N/A
IDEOS X5;;Huawei;N/A
MTC Neo;;Huawei;N/A
U8800;;Huawei;N/A
Ucell;;Huawei;N/A
u8800;;Huawei;N/A
HUAWEI_IDEOS_X5;;Huawei;N/A
HuaweiU8800Pro;;Huawei;N/A
IDEOS X5;;Huawei;N/A
MTC Neo;;Huawei;N/A
RBM_HD;;Huawei;N/A
U8800 Pro;;Huawei;N/A
U8800Pro;;Huawei;N/A
HUAWEI Ascend G 300;;Huawei;N/A
HUAWEI U8815;;Huawei;N/A
HUAWEI_Ascend G 300;;Huawei;N/A
Personal U8815-51;;Huawei;N/A
U8815;;Huawei;N/A
U8815-51;;Huawei;N/A
HUAWEI U8815N;;Huawei;N/A
U8815N;;Huawei;N/A
MTC Viva;;Huawei;N/A
U8816;;Huawei;N/A
HUAWEI U8818;;Huawei;N/A
U8818;;Huawei;N/A
U8820;;Huawei;N/A
Bs 401;;Huawei;N/A
HUAWEI Ascend G 330;;Huawei;N/A
HUAWEI U8825-1;;Huawei;N/A
HUAWEI U8825D;;Huawei;N/A
007HW;;Huawei;N/A
GS02;;Huawei;N/A
HUAWEI_U8860;;Huawei;N/A
TURKCELL MaxiPRO5;;Huawei;N/A
U8860;;Huawei;N/A
U8860-51;;Huawei;N/A
U8867Z;;Huawei;N/A
HUAWEI U8950-1;;Huawei;N/A
HUAWEI U8950-51;;Huawei;N/A
HUAWEI U8950D;;Huawei;N/A
HUAWEI U8950N-1;;Huawei;N/A
HUAWEI U8950N-51;;Huawei;N/A
U9200;;Huawei;N/A
U9200E;;Huawei;N/A
GS03;;Huawei;N/A
U9200;;Huawei;N/A
U9200E;;Huawei;N/A
201HW;;Huawei;N/A
U9500E;;Huawei;N/A
HW-01E;;Huawei;N/A
HUAWEI U9508;;Huawei;N/A
HUAWEI U9510;;Huawei;N/A
U9510;;Huawei;N/A
HUAWEI U9510E;;Huawei;N/A
GL07S;;Huawei;N/A
UM840;;Huawei;N/A
HUAWEI Y210-0010;;Huawei;N/A
HUAWEI Ascend Y 210;;Huawei;N/A
HUAWEI Y210-0100;;Huawei;N/A
HUAWEI Y210-0151;;Huawei;N/A
HUAWEI Ascend Y 210D;;Huawei;N/A
HUAWEI Asend Y 210D;;Huawei;N/A
HUAWEI Y210-0200;;Huawei;N/A
Leopard MF808;;Huawei;N/A
NATCOM N8302;;Huawei;N/A
VIETTEL V8404;;Huawei;N/A
HUAWEI Y210-0251;;Huawei;N/A
HUAWEI Y210-2010;;Huawei;N/A
Pulse;;Huawei;N/A
U8230;;Huawei;N/A
Beeline_E300;;Huawei;N/A
Grameenphone Crystal;;Huawei;N/A
HUAWEI IDEOS U8500;;Huawei;N/A
HUAWEI_IDEOS_U8500;;Huawei;N/A
Huawei;;Huawei;N/A
HuaweiU8300;;Huawei;N/A
Ideos;;Huawei;N/A
MTC Evo;;Huawei;N/A
Pulse Mini;;Huawei;N/A
RBM C;;Huawei;N/A
S31HW;;Huawei;N/A
Smile;;Huawei;N/A
Tactile internet;;Huawei;N/A
Turkcell T10;;Huawei;N/A
U8110;;Huawei;N/A
U8300;;Huawei;N/A
U8500;;Huawei;N/A
Vodafone 845;;Huawei;N/A
004HW;;Huawei;N/A
IDEOS X5;;Huawei;N/A
u8800;;Huawei;N/A
C8600;;Huawei;N/A
HUAWEI-M860;;Huawei;N/A
Ideos;;Huawei;N/A
M860;;Huawei;N/A
U8180;;Huawei;N/A
ORINOQUIA C8688V;;Huawei;N/A
HUAWEI-S7;;Huawei;N/A
IDEOS S7;;Huawei;N/A
Ideos S7;;Huawei;N/A
Oysters SmaKit S7;;Huawei;N/A
S7;;Huawei;N/A
IDEOS S7 Slim;;Huawei;N/A
u8800;;Huawei;N/A
HUAWEI A199;A199;Huawei;N/A
ATH-TL00;ATH-TL00;Huawei;N/A
ATH-TL00H;ATH-TL00H;Huawei;N/A
ATH-UL00;ATH-UL00;Huawei;N/A
U9500;Ascend D;Huawei;N/A
HUAWEI G510-0251;Ascend G510;Huawei;N/A
HUAWEI Ascend G525;Ascend G525;Huawei;N/A
HUAWEI G525-U00;Ascend G525;Huawei;N/A
HUAWEI B199;B199;Huawei;N/A
HUAWEI C199;C199;Huawei;N/A
HUAWEI C199s;C199s;Huawei;N/A
HUAWEI C8812;C8812;Huawei;N/A
HUAWEI C8813D;C8813D;Huawei;N/A
HUAWEI C8813DQ;C8813DQ;Huawei;N/A
HUAWEI C8815;C8815;Huawei;N/A
HUAWEI C8816;C8816;Huawei;N/A
HUAWEI C8816D;C8816D;Huawei;N/A
C8817D;C8817D;Huawei;N/A
HUAWEI C8817E;C8817E;Huawei;N/A
HUAWEI C8817L;C8817L;Huawei;N/A
HUAWEI C8818;C8818;Huawei;N/A
HUAWEI C8826D;C8826D;Huawei;N/A
HUAWEI-C8850;C8850;Huawei;N/A
CHC-U03;CHC-U03;Huawei;N/A
CHC-U23;CHC-U23;Huawei;N/A
CHM-CL00;CHM-CL00;Huawei;N/A
CHM-U01;CHM-U01;Huawei;N/A
CM990;CM990;Huawei;N/A
CUN-AL00;CUN-AL00;Huawei;N/A
CUN-TL00;CUN-TL00;Huawei;N/A
Che1-CL10;Che1-CL10;Huawei;N/A
Che1-CL20;Che1-CL20;Huawei;N/A
Che1-L04;Che1-L04;Huawei;N/A
Che2-L11;Che2-L11;Huawei;N/A
Che2-L23;Che2-L23;Huawei;N/A
Che2-TL00;Che2-TL00;Huawei;N/A
Che2-TL00H;Che2-TL00H;Huawei;N/A
Che2-TL00M;Che2-TL00M;Huawei;N/A
Che2-UL00;Che2-UL00;Huawei;N/A
CHC-U01;Cherry Mini;Huawei;N/A
M330;China;Huawei;N/A
H1611;Copper Plus;Huawei;N/A
HUAWEI H1611;Copper Plus;Huawei;N/A
HUAWEI D2-0082;D2;Huawei;N/A
HUAWEI D2-2010;D2;Huawei;N/A
HUAWEI D2-6070;D2;Huawei;N/A
HUAWEI P8max;DAV;Huawei;N/A
HUAWEI LUA-L03;ECO;Huawei;N/A
HUAWEI LUA-L13;ECO;Huawei;N/A
HUAWEI LUA-L23;ECO;Huawei;N/A
HUAWEI LUA-U03;ECO;Huawei;N/A
HUAWEI LUA-U23;ECO;Huawei;N/A
ES8100;ES8100;Huawei;N/A
HuaweiES8500;ES8500;Huawei;N/A
FIG-LX1;FIG-LX1;Huawei;N/A
FRD-L02;FRD-L02;Huawei;N/A
Huawei-U8665;Fusion 2;Huawei;N/A
HUAWEI G350;G350;Huawei;N/A
HUAWEI G350-U00;G350;Huawei;N/A
HUAWEI G350-U20;G350-U20;Huawei;N/A
HUAWEI G506-U151;G506;Huawei;N/A
HUAWEI G510-0010;G510;Huawei;N/A
HUAWEI G510-0100;G510;Huawei;N/A
HuaweiG510-0100;G510;Huawei;N/A
HuaweiG510-0100-orange;G510;Huawei;N/A
HUAWEI Ascend G510;G510;Huawei;N/A
HUAWEI G510-0200;G510;Huawei;N/A
Orange Daytona;G510;Huawei;N/A
HUAWEI G520-5000;G520;Huawei;N/A
HUAWEI G521-L076;G521-L076;Huawei;N/A
HUAWEI G521-L176;G521-L176;Huawei;N/A
G526-L11;G526;Huawei;N/A
G526-L22;G526;Huawei;N/A
G526-L33;G526;Huawei;N/A
G527-U081;G527;Huawei;N/A
HUAWEI G535-L11;G535-L11;Huawei;N/A
Kestrel;G535-L11;Huawei;N/A
Orange Gova;G535-L11;Huawei;N/A
Speedsurfer;G535-L11;Huawei;N/A
Ultym5;G535-L11;Huawei;N/A
HUAWEI G6-T00;G6;Huawei;N/A
HUAWEI G6-C00;G6-C00;Huawei;N/A
HUAWEI G6-L11;G6-L11;Huawei;N/A
HUAWEI G6-L22;G6-L22;Huawei;N/A
HUAWEI G6-L33;G6-L33;Huawei;N/A
HUAWEI G6-U00;G6-U00;Huawei;N/A
HUAWEI G6-U10;G6-U10;Huawei;N/A
HUAWEI G6-U251;G6-U251;Huawei;N/A
HUAWEI G6-U34;G6-U34;Huawei;N/A
HUAWEI G606-T00;G606;Huawei;N/A
HUAWEI G606-T00;G606-T00;Huawei;N/A
HUAWEI G610-T00;G610;Huawei;N/A
G610-U00;G610;Huawei;N/A
