Device Identifier;Device Name;Device Manufacturer;Bluetooth Version
iPod1,1;1st Gen iPod;Apple;N/A
iPod2,1;2nd Gen iPod;Apple;Bluetooth 2.1 + EDR
iPod3,1;3rd Gen iPod;Apple;Bluetooth 2.1 + EDR
iPod4,1;4th Gen iPod;Apple;Bluetooth 2.1 + EDR
iPod5,1;5th Gen iPod;Apple;Bluetooth 4.0
iPod7,1;6th Gen iPod;Apple;Bluetooth 4.1
iPad1,1;iPad;Apple;Bluetooth 2.1 + EDR
iPad1,2;iPad 3G;Apple;Bluetooth 2.1 + EDR
iPad2,1;2nd Gen iPad;Apple;Bluetooth 2.1 + EDR
iPad2,2;2nd Gen iPad GSM;Apple;Bluetooth 2.1 + EDR
iPad2,3;2nd Gen iPad CDMA;Apple;Bluetooth 2.1 + EDR
iPad2,4;2nd Gen iPad New Revision;Apple;Bluetooth 2.1 + EDR
iPad3,1;3rd Gen iPad;Apple;Bluetooth 4.0
iPad3,2;3rd Gen iPad CDMA;Apple;Bluetooth 4.0
iPad3,3;3rd Gen iPad GSM;Apple;Bluetooth 4.0
iPad2,5;iPad mini;Apple;Bluetooth 4.0
iPad2,6;iPad mini GSM+LTE;Apple;Bluetooth 4.0
iPad2,7;iPad mini CDMA+LTE;Apple;Bluetooth 4.0
iPad3,4;4th Gen iPad;Apple;Bluetooth 4.0
iPad3,5;4th Gen iPad GSM+LTE;Apple;Bluetooth 4.0
iPad3,6;4th Gen iPad CDMA+LTE;Apple;Bluetooth 4.0
iPad4,1;iPad Air (WiFi);Apple;Bluetooth 4.0
iPad4,2;iPad Air (GSM+CDMA);Apple;Bluetooth 4.0
iPad4,3;1st Gen iPad Air (China);Apple;Bluetooth 4.0
iPad4,4;iPad mini Retina (WiFi);Apple;Bluetooth 4.0
iPad4,5;iPad mini Retina (GSM+CDMA);Apple;Bluetooth 4.0
iPad4,6;iPad mini Retina (China);Apple;Bluetooth 4.0
iPad4,7;iPad mini 3 (WiFi);Apple;Bluetooth 4.0
iPad4,8;iPad mini 3 (GSM+CDMA);Apple;Bluetooth 4.0
iPad4,9;iPad Mini 3 (China);Apple;Bluetooth 4.0
iPad5,1;iPad mini 4 (WiFi);Apple;Bluetooth 4.0
iPad5,2;4th Gen iPad mini (WiFi+Cellular);Apple;Bluetooth 4.0
iPad5,3;iPad Air 2 (WiFi);Apple;Bluetooth 4.2
iPad5,4;iPad Air 2 (Cellular);Apple;Bluetooth 4.2
iPad6,3;iPad Pro (9.7 inch, WiFi);Apple;Bluetooth 4.2
iPad6,4;iPad Pro (9.7 inch, WiFi+LTE);Apple;Bluetooth 4.2
iPad6,7;iPad Pro (12.9 inch, WiFi);Apple;Bluetooth 4.2
iPad6,8;iPad Pro (12.9 inch, WiFi+LTE);Apple;Bluetooth 4.2
iPad6,11;iPad (2017);Apple;Bluetooth 4.2
iPad6,12;iPad (2017);Apple;Bluetooth 4.2
iPad7,1;iPad Pro 2nd Gen (WiFi);Apple;Bluetooth 4.2
iPad7,2;iPad Pro 2nd Gen (WiFi+Cellular);Apple;Bluetooth 4.2
iPad7,3;iPad Pro 10.5-inch;Apple;Bluetooth 4.2
iPad7,4;iPad Pro 10.5-inch;Apple;Bluetooth 4.2
